seed,fold,method,patient_class_1_recall,patient_class_1_f1,patient_class_2_recall,patient_class_2_f1,patient_class_3_recall,patient_class_3_f1
11,1,global_only,0.8,0.6666666666666666,0.25,0.2962962962962963,0.36363636363636365,0.42105263157894735
11,1,local_only,0.3,0.35294117647058826,0.0,0.0,0.8181818181818182,0.4090909090909091
11,1,fixed_4g_4l,0.4,0.42105263157894735,0.0,0.0,0.6363636363636364,0.35
11,1,random_allocation,0.45,0.46153846153846156,0.0,0.0,0.6363636363636364,0.358974358974359
11,1,proposed_lsa_glqie,0.65,0.5909090909090909,0.0,0.0,0.5454545454545454,0.35294117647058826
11,1,classical_proposed,0.8,0.6956521739130435,0.5,0.5925925925925926,0.45454545454545453,0.47619047619047616
11,1,classical_fixed_4g_4l,0.8,0.7804878048780488,0.75,0.7741935483870968,0.6363636363636364,0.6363636363636364
11,1,svm_classical_proposed,0.6,0.75,0.875,0.8235294117647058,0.9090909090909091,0.7142857142857143
11,1,fixed_2g_6l,0.45,0.43902439024390244,0.3125,0.37037037037037035,0.18181818181818182,0.15384615384615385
11,1,fixed_6g_2l,0.4,0.41025641025641024,0.0,0.0,0.5454545454545454,0.3076923076923077
11,1,shuffled_size_allocation,0.75,0.625,0.0,0.0,0.6363636363636364,0.4666666666666667
11,1,lesion_size_only,0.3,0.3870967741935484,0.625,0.6060606060606061,0.7272727272727273,0.5333333333333333
11,1,svm_classical_fixed_4g_4l,0.65,0.7428571428571429,0.9375,0.8823529411764706,0.8181818181818182,0.72
11,2,global_only,0.4444444444444444,0.5161290322580645,0.6153846153846154,0.45714285714285713,0.25,0.2857142857142857
11,2,local_only,0.0,0.0,1.0,0.43333333333333335,0.0,0.0
11,2,fixed_4g_4l,0.0,0.0,1.0,0.43333333333333335,0.0,0.0
11,2,random_allocation,0.0,0.0,0.9230769230769231,0.4444444444444444,0.0,0.0
11,2,proposed_lsa_glqie,0.0,0.0,1.0,0.43333333333333335,0.0,0.0
11,2,classical_proposed,0.5,0.5806451612903226,0.6923076923076923,0.782608695652174,1.0,0.8
11,2,classical_fixed_4g_4l,0.7222222222222222,0.7878787878787878,0.9230769230769231,0.9230769230769231,0.9375,0.8571428571428571
11,2,svm_classical_proposed,0.5555555555555556,0.6896551724137931,0.9230769230769231,0.9230769230769231,1.0,0.8205128205128205
11,2,fixed_2g_6l,0.05555555555555555,0.10526315789473684,1.0,0.4642857142857143,0.0,0.0
11,2,fixed_6g_2l,0.05555555555555555,0.10526315789473684,1.0,0.45614035087719296,0.0,0.0
11,2,shuffled_size_allocation,0.0,0.0,0.6923076923076923,0.33962264150943394,0.0,0.0
11,2,lesion_size_only,0.0,0.0,0.7692307692307693,0.6896551724137931,1.0,0.6808510638297872
11,2,svm_classical_fixed_4g_4l,0.8333333333333334,0.9090909090909091,1.0,0.9629629629629629,1.0,0.9411764705882353
11,3,global_only,0.5714285714285714,0.41025641025641024,0.42105263157894735,0.5,0.3076923076923077,0.38095238095238093
11,3,local_only,0.35714285714285715,0.35714285714285715,0.7894736842105263,0.625,0.07692307692307693,0.125
11,3,fixed_4g_4l,0.42857142857142855,0.48,0.5789473684210527,0.5641025641025641,0.5384615384615384,0.5
11,3,random_allocation,0.6428571428571429,0.4090909090909091,0.05263157894736842,0.08695652173913043,0.38461538461538464,0.4
11,3,proposed_lsa_glqie,0.5,0.3684210526315789,0.05263157894736842,0.09523809523809523,0.6153846153846154,0.48484848484848486
11,3,classical_proposed,0.5714285714285714,0.64,0.7894736842105263,0.8571428571428571,0.9230769230769231,0.75
11,3,classical_fixed_4g_4l,0.7857142857142857,0.7857142857142857,1.0,0.9743589743589743,0.7692307692307693,0.8
11,3,svm_classical_proposed,0.6428571428571429,0.75,0.9473684210526315,0.9473684210526315,0.9230769230769231,0.8
11,3,fixed_2g_6l,0.5714285714285714,0.41025641025641024,0.3684210526315789,0.45161290322580644,0.3076923076923077,0.36363636363636365
11,3,fixed_6g_2l,0.2857142857142857,0.23529411764705882,0.21052631578947367,0.23529411764705882,0.0,0.0
11,3,shuffled_size_allocation,0.35714285714285715,0.35714285714285715,0.42105263157894735,0.42105263157894735,0.3076923076923077,0.3076923076923077
11,3,lesion_size_only,0.35714285714285715,0.4166666666666667,0.5263157894736842,0.625,0.8461538461538461,0.6111111111111112
11,3,svm_classical_fixed_4g_4l,0.8571428571428571,0.8571428571428571,0.9473684210526315,0.9473684210526315,0.9230769230769231,0.9230769230769231
11,4,global_only,0.42105263157894735,0.47058823529411764,0.4,0.34285714285714286,0.38461538461538464,0.4
11,4,local_only,0.21052631578947367,0.27586206896551724,0.8666666666666667,0.5098039215686274,0.0,0.0
11,4,fixed_4g_4l,0.5263157894736842,0.5,0.0,0.0,0.46153846153846156,0.3076923076923077
11,4,random_allocation,0.3157894736842105,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.38461538461538464,0.3333333333333333
11,4,proposed_lsa_glqie,0.42105263157894735,0.5161290322580645,0.8,0.48,0.0,0.0
11,4,classical_proposed,0.5789473684210527,0.6666666666666666,0.8,0.8571428571428571,0.9230769230769231,0.7272727272727273
11,4,classical_fixed_4g_4l,0.7894736842105263,0.8108108108108109,0.9333333333333333,0.9655172413793104,0.8461538461538461,0.7857142857142857
11,4,svm_classical_proposed,0.7368421052631579,0.8484848484848485,1.0,0.967741935483871,1.0,0.8666666666666667
11,4,fixed_2g_6l,0.2631578947368421,0.3333333333333333,0.2,0.3157894736842105,0.8461538461538461,0.4888888888888889
11,4,fixed_6g_2l,0.15789473684210525,0.2222222222222222,0.4666666666666667,0.34146341463414637,0.46153846153846156,0.46153846153846156
11,4,shuffled_size_allocation,0.631578947368421,0.5581395348837209,0.3333333333333333,0.4166666666666667,0.15384615384615385,0.14814814814814814
11,4,lesion_size_only,0.5263157894736842,0.5882352941176471,0.4,0.5454545454545454,1.0,0.6842105263157895
11,4,svm_classical_fixed_4g_4l,0.8421052631578947,0.9142857142857143,1.0,0.9375,1.0,0.9629629629629629
11,5,global_only,0.6363636363636364,0.3888888888888889,0.15384615384615385,0.23529411764705882,0.3333333333333333,0.2727272727272727
11,5,local_only,0.6363636363636364,0.358974358974359,0.07692307692307693,0.13793103448275862,0.1111111111111111,0.08333333333333333
11,5,fixed_4g_4l,0.5454545454545454,0.4,0.0,0.0,0.4444444444444444,0.2222222222222222
11,5,random_allocation,0.6363636363636364,0.4,0.0,0.0,0.4444444444444444,0.26666666666666666
11,5,proposed_lsa_glqie,0.6363636363636364,0.4375,0.0,0.0,0.5555555555555556,0.29411764705882354
11,5,classical_proposed,0.5454545454545454,0.5714285714285714,0.7307692307692307,0.8260869565217391,0.8888888888888888,0.64
11,5,classical_fixed_4g_4l,1.0,0.8461538461538461,0.9230769230769231,0.96,0.7777777777777778,0.875
11,5,svm_classical_proposed,0.6363636363636364,0.6666666666666666,0.8846153846153846,0.9387755102040817,0.8888888888888888,0.7272727272727273
11,5,fixed_2g_6l,0.6363636363636364,0.358974358974359,0.34615384615384615,0.4864864864864865,0.2222222222222222,0.25
11,5,fixed_6g_2l,0.2727272727272727,0.2727272727272727,0.23076923076923078,0.2926829268292683,0.4444444444444444,0.27586206896551724
11,5,shuffled_size_allocation,0.36363636363636365,0.25806451612903225,0.0,0.0,0.2222222222222222,0.11428571428571428
11,5,lesion_size_only,0.09090909090909091,0.125,0.6153846153846154,0.6956521739130435,0.8888888888888888,0.5333333333333333
11,5,svm_classical_fixed_4g_4l,0.9090909090909091,0.8333333333333334,0.9230769230769231,0.96,0.8888888888888888,0.8888888888888888
22,1,global_only,0.9,0.5714285714285714,0.125,0.2,0.0,0.0
22,1,local_only,0.5,0.4878048780487805,0.25,0.26666666666666666,0.18181818181818182,0.17391304347826086
22,1,fixed_4g_4l,0.95,0.6129032258064516,0.125,0.2,0.0,0.0
22,1,random_allocation,0.8,0.5161290322580645,0.0,0.0,0.0,0.0
22,1,proposed_lsa_glqie,0.9,0.5901639344262295,0.1875,0.2857142857142857,0.09090909090909091,0.16666666666666666
22,1,classical_proposed,0.8,0.6956521739130435,0.5625,0.6428571428571429,0.45454545454545453,0.5
