seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
11,1,global_only,0.46133853151397,0.4712121212121212,0.6764300713225445,0.5047177583079544
11,1,local_only,0.2540106951871658,0.3727272727272727,0.5741383367727454,0.4329226309369689
11,1,fixed_4g_4l,0.2570175438596491,0.3454545454545454,0.6284769740414902,0.444068064053927
11,1,random_allocation,0.2735042735042735,0.3621212121212121,0.6610694761232395,0.508455179591266
11,1,proposed_lsa_glqie,0.3146167557932264,0.3984848484848484,0.529127294449875,0.3731350188472552
11,1,classical_proposed,0.5881450808987041,0.5848484848484848,0.8385431374678687,0.6995399592819816
11,1,classical_fixed_4g_4l,0.7303483298762606,0.7287878787878789,0.9069390137938526,0.8408144510031911
11,1,svm_classical_proposed,0.7626050420168067,0.7946969696969698,0.920969552152348,0.8522849077830078
11,1,fixed_2g_6l,0.3210803048201422,0.3147727272727272,0.5773514717063105,0.4092500472331999
11,1,fixed_6g_2l,0.2393162393162393,0.3151515151515151,0.4730350095941493,0.3508213053737583
11,1,shuffled_size_allocation,0.3638888888888889,0.4621212121212121,0.6095163100539446,0.4329092856954186
11,1,lesion_size_only,0.5088302378624959,0.5507575757575758,0.7213379312841678,0.601557075344791
11,1,svm_classical_fixed_4g_4l,0.7817366946778712,0.8018939393939394,0.9605648781724052,0.9262076326129152
11,2,global_only,0.4196620583717358,0.4366096866096866,0.6208350716668783,0.4777408063680322
11,2,local_only,0.1444444444444444,0.3333333333333333,0.4938239875302297,0.3685621787147353
11,2,fixed_4g_4l,0.1444444444444444,0.3333333333333333,0.5632886348591707,0.440582748159231
11,2,random_allocation,0.1481481481481481,0.3076923076923077,0.3476601727558673,0.2942804477868983
11,2,proposed_lsa_glqie,0.1444444444444444,0.3333333333333333,0.5595941284778555,0.4112299748166693
11,2,classical_proposed,0.7210846189808322,0.7307692307692308,0.8511133397199616,0.7641377710052736
11,2,classical_fixed_4g_4l,0.8560328560328561,0.8609330484330484,0.9538519280961864,0.9217408439213608
11,2,svm_classical_proposed,0.8110816386678456,0.8262108262108262,0.9284089816012542,0.8704662722028108
11,2,fixed_2g_6l,0.1898496240601503,0.3518518518518518,0.5724339820067098,0.4344875372656937
11,2,fixed_6g_2l,0.1871345029239766,0.3518518518518518,0.4512549370070799,0.3552965919170874
11,2,shuffled_size_allocation,0.1132075471698113,0.2307692307692307,0.3257082241165863,0.3093772056583558
11,2,lesion_size_only,0.4568354120811935,0.5897435897435898,0.6261631455392497,0.4454063855995225
