seed,fold,method,patient_class_1_recall,patient_class_1_f1,patient_class_2_recall,patient_class_2_f1,patient_class_3_recall,patient_class_3_f1
11,1,global_only,,,,,,
11,1,local_only,,,,,,
11,1,fixed_4g_4l,,,,,,
11,1,random_allocation,,,,,,
11,1,proposed_lsa_glqie,,,,,,
11,1,classical_proposed,,,,,,
11,1,classical_fixed_4g_4l,,,,,,
11,1,svm_classical_proposed,,,,,,
11,1,fixed_2g_6l,,,,,,
11,1,fixed_6g_2l,,,,,,
11,1,shuffled_size_allocation,,,,,,
11,1,lesion_size_only,,,,,,
11,1,svm_classical_fixed_4g_4l,,,,,,
11,2,global_only,,,,,,
11,2,local_only,,,,,,
11,2,fixed_4g_4l,,,,,,
11,2,random_allocation,,,,,,
11,2,proposed_lsa_glqie,,,,,,
11,2,classical_proposed,,,,,,
11,2,classical_fixed_4g_4l,,,,,,
11,2,svm_classical_proposed,,,,,,
11,2,fixed_2g_6l,,,,,,
11,2,fixed_6g_2l,,,,,,
11,2,shuffled_size_allocation,,,,,,
11,2,lesion_size_only,,,,,,
11,2,svm_classical_fixed_4g_4l,,,,,,
11,3,global_only,,,,,,
11,3,local_only,,,,,,
11,3,fixed_4g_4l,,,,,,
11,3,random_allocation,,,,,,
11,3,proposed_lsa_glqie,,,,,,
11,3,classical_proposed,,,,,,
11,3,classical_fixed_4g_4l,,,,,,
11,3,svm_classical_proposed,,,,,,
11,3,fixed_2g_6l,,,,,,
11,3,fixed_6g_2l,,,,,,
11,3,shuffled_size_allocation,,,,,,
11,3,lesion_size_only,,,,,,
11,3,svm_classical_fixed_4g_4l,,,,,,
11,4,global_only,,,,,,
11,4,local_only,,,,,,
11,4,fixed_4g_4l,,,,,,
11,4,random_allocation,,,,,,
11,4,proposed_lsa_glqie,,,,,,
11,4,classical_proposed,,,,,,
11,4,classical_fixed_4g_4l,,,,,,
11,4,svm_classical_proposed,,,,,,
11,4,fixed_2g_6l,,,,,,
11,4,fixed_6g_2l,,,,,,
11,4,shuffled_size_allocation,,,,,,
11,4,lesion_size_only,,,,,,
11,4,svm_classical_fixed_4g_4l,,,,,,
11,5,global_only,,,,,,
11,5,local_only,,,,,,
